iter	Passed	Remaining
0	0	91
1	1	91
2	2	84
3	3	92
4	4	94
5	6	100
6	7	102
7	9	105
8	10	107
9	11	107
10	12	104
11	13	101
12	15	100
13	16	99
14	17	98
15	18	94
16	19	93
17	19	90
18	20	89
19	22	88
20	23	88
21	24	87
22	25	84
23	26	82
24	26	80
25	27	78
26	28	77
27	29	75
28	30	74
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	68
35	37	67
36	38	65
37	39	64
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	57
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	64	34
65	65	33
66	67	33
67	67	31
68	68	30
69	69	29
70	70	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	74	22
77	75	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	88	5
94	89	4
95	90	3
96	91	2
97	91	1
98	92	0
99	93	0
