iter	Passed	Remaining
0	131	131852
1	134	67356
2	137	45628
3	139	34649
4	139	27843
5	140	23325
6	142	20186
7	143	17849
8	145	16030
9	147	14605
10	149	13452
11	151	12469
12	153	11646
13	155	10971
14	157	10355
15	159	9820
16	161	9362
17	163	8940
18	165	8547
19	167	8184
20	168	7851
21	170	7589
22	172	7309
23	173	7047
24	174	6800
25	177	6631
26	178	6432
27	179	6247
28	181	6067
29	182	5893
30	183	5724
31	184	5566
32	184	5420
33	185	5283
34	186	5151
35	187	5023
36	188	4901
37	189	4784
38	189	4673
39	190	4573
40	191	4478
41	192	4386
42	193	4298
43	193	4210
44	194	4126
45	195	4060
46	196	3981
47	197	3907
48	197	3836
49	198	3769
50	198	3702
51	199	3637
52	200	3575
53	200	3514
54	201	3455
55	201	3399
56	202	3344
57	202	3291
58	203	3241
59	203	3192
60	204	3144
61	204	3097
62	205	3053
63	206	3013
64	206	2972
65	207	2934
66	207	2895
67	208	2857
68	209	2822
69	209	2785
70	210	2749
71	210	2716
72	211	2682
73	211	2649
74	212	2617
75	212	2586
76	213	2555
77	213	2525
78	214	2496
79	214	2467
80	214	2439
81	215	2411
82	215	2383
83	216	2356
84	216	2331
85	217	2306
86	217	2282
87	217	2258
88	218	2234
89	218	2211
90	219	2188
91	219	2166
92	220	2145
93	220	2125
94	221	2106
95	221	2089
96	222	2070
97	222	2052
98	223	2033
99	224	2016
100	224	1998
101	224	1980
102	225	1962
103	225	1945
104	226	1928
105	226	1911
106	227	1894
107	227	1878
108	227	1862
109	228	1847
110	228	1832
111	229	1818
112	229	1803
113	230	1789
114	230	1776
115	231	1762
116	232	1752
117	232	1738
118	233	1725
119	233	1712
120	233	1699
121	234	1686
122	234	1674
123	235	1662
124	235	1651
125	236	1639
126	236	1628
127	237	1617
128	237	1606
129	238	1596
130	239	1585
131	239	1575
132	240	1565
133	240	1555
134	241	1545
135	241	1535
136	242	1525
137	242	1515
138	243	1505
139	243	1496
140	244	1486
141	244	1476
142	244	1467
143	245	1457
144	245	1448
145	246	1439
146	246	1430
147	247	1422
148	247	1413
149	247	1404
150	248	1396
151	248	1388
152	249	1380
153	249	1372
154	250	1366
155	251	1360
156	252	1354
157	252	1347
158	253	1340
159	253	1333
160	254	1325
161	254	1319
162	255	1312
163	256	1305
164	256	1298
165	257	1291
166	257	1285
167	258	1278
168	258	1271
